경기 번호, 날짜, 닉네임, 요원, 맵, 순위, 킬, 데스, 어시스트, ACS, ADR, DDΔ, HS, FK, FD, MK, PL, DF, 승패
1,2025-06-09-18-53,김뚜띠,네온,어센트,1,23,10,6,314.1,221,112,30,3,1,3,1,0,v
1,2025-06-09-18-53,조별하,클로브,어센트,2,22,13,3,307.45,213,78,36,4,0,2,0,1,v
1,2025-06-09-18-53,미친개정강지,레이나,어센트,5,12,11,3,158.3,106,-13,31,2,2,1,0,0,v
1,2025-06-09-18-53,이춘향,킬조이,어센트,6,10,11,2,144.3,105,0,18,1,3,0,0,0,v
1,2025-06-09-18-53,유봄냥,소바,어센트,7,10,10,7,144.15,115,16,21,2,2,0,4,0,v
1,2025-06-09-18-53,남봉,페이드,어센트,4,11,15,5,178.45,108,-31,18,1,2,2,5,0,l
1,2025-06-09-18-53,러너,킬조이,어센트,8,9,16,3,137.95,97,-53,10,0,3,0,0,0,l
1,2025-06-09-18-53,감제이,제트,어센트,9,10,14,3,135.3,85,-69,13,3,3,1,0,0,l
1,2025-06-09-18-53,아구이뽀,오멘,어센트,10,5,16,7,117.95,86,-65,21,1,1,0,0,0,l
1,2025-06-09-18-53,짜누,아이소,어센트,3,20,16,5,303.65,190,24,31,3,3,3,0,1,l
2,2025-06-09-19-34,조별하,아이소,로터스,1,26,13,2,372.21,227,92,19,5,2,2,0,0,v
2,2025-06-09-19-34,김뚜띠,오멘,로터스,2,23,9,8,341.37,232,81,29,2,1,3,2,0,v
2,2025-06-09-19-34,미친개정강지,킬조이,로터스,3,21,12,2,286.74,201,78,30,4,0,3,0,0,v
2,2025-06-09-19-34,유봄냥,페이드,로터스,8,7,10,5,101.26,71,-33,24,1,1,0,9,1,v
2,2025-06-09-19-34,이춘향,레이즈,로터스,10,3,15,6,77.68,66,-72,11,0,3,0,0,0,v
2,2025-06-09-19-34,짜누,제트,로터스,5,16,16,3,242.21,164,-4,41,5,1,1,0,0,l
2,2025-06-09-19-34,아구이뽀,오멘,로터스,6,12,16,6,171.68,105,-51,21,0,3,0,1,0,l
2,2025-06-09-19-34,러너,바이스,로터스,7,9,15,2,154.89,106,-47,22,1,1,0,0,1,l
2,2025-06-09-19-34,감제이,브리치,로터스,9,5,17,7,83.89,51,-115,14,1,2,0,0,0,l
2,2025-06-09-19-34,남봉,스카이,로터스,4,17,16,5,257.95,174,18,20,0,5,1,3,1,l
3,2025-06-09-20-18,조별하,제트,헤이븐,1,32,14,4,425.9,291,149,31,10,2,4,0,1,v
3,2025-06-09-20-18,짜누,아이소,헤이븐,3,18,15,4,239.95,152,-2,36,3,1,1,0,0,v
3,2025-06-09-20-18,유봄냥,클로브,헤이븐,5,14,14,8,180.9,143,4,30,1,1,0,4,0,v
3,2025-06-09-20-18,푸린,소바,헤이븐,7,14,13,3,174.95,128,3,21,1,0,0,2,0,v
3,2025-06-09-20-18,러너,킬조이,헤이븐,9,11,13,3,147.95,92,-16,4,0,2,1,0,0,v
3,2025-06-09-20-18,감제이,킬조이,헤이븐,4,16,17,5,226.05,147,-9,21,2,4,0,0,0,l
3,2025-06-09-20-18,김뚜띠,소바,헤이븐,6,12,19,3,180.9,123,-41,18,0,2,1,1,0,l
3,2025-06-09-20-18,남봉,브리치,헤이븐,8,10,18,10,155.81,112,-43,33,1,1,1,1,0,l
3,2025-06-09-20-18,아구이뽀,오멘,헤이븐,10,8,17,8,127.52,89,-73,27,0,3,0,4,0,l
3,2025-06-09-20-18,미친개정강지,요루,헤이븐,2,22,18,3,306.05,193,29,18,3,5,3,1,0,l
4,2025-06-09-21-02,푸린,아스트라,펄,3,21,13,2,248.04,166,49,44,0,0,1,4,0,v
4,2025-06-09-21-02,짜누,제트,펄,5,18,15,1,205.26,143,16,32,4,3,2,0,0,v
4,2025-06-09-21-02,유봄냥,페이드,펄,7,16,16,8,171.3,102,-26,29,2,3,0,3,0,v
4,2025-06-09-21-02,러너,킬조이,펄,8,11,16,8,167.61,130,-14,10,3,2,0,0,1,v
4,2025-06-09-21-02,김뚜띠,아이소,펄,1,22,20,6,289.74,205,52,31,1,1,1,0,0,l
4,2025-06-09-21-02,감제이,제트,펄,4,17,18,4,237.91,147,5,16,5,4,3,0,0,l
4,2025-06-09-21-02,아구이뽀,아스트라,펄,6,14,17,5,176.65,107,-23,13,0,2,0,2,0,l
4,2025-06-09-21-02,미친개정강지,킬조이,펄,9,12,17,3,158.09,108,-20,24,2,4,1,0,1,l
4,2025-06-09-21-02,남봉,페이드,펄,10,10,16,13,143.7,100,-34,18,1,3,0,3,0,l
4,2025-06-09-21-02,조별하,피닉스,펄,2,22,15,6,263.26,145,-7,31,5,1,4,0,0,v
5,2025-06-09-21-58,남봉,요루,스플릿,3,21,20,5,257.77,176,37,9,8,2,2,0,0,l
5,2025-06-09-21-58,아구이뽀,오멘,스플릿,5,20,19,6,211.96,131,-13,15,2,1,1,4,0,l
5,2025-06-09-21-58,푸린,소바,스플릿,8,16,17,3,175.96,127,-9,24,0,0,1,3,0,l
5,2025-06-09-21-58,러너,바이스,스플릿,10,9,19,4,111.23,88,-38,22,0,2,0,0,0,l
5,2025-06-09-21-58,짜누,레이나,스플릿,1,24,17,9,287.27,188,32,31,2,3,5,0,0,v
5,2025-06-09-21-58,김뚜띠,레이즈,스플릿,4,23,15,2,231.77,155,28,24,2,6,3,2,1,v
5,2025-06-09-21-58,울프,오멘,스플릿,6,17,19,11,198.23,123,-14,26,2,2,2,1,1,v
5,2025-06-09-21-58,감제이,바이스,스플릿,7,16,20,2,188.15,119,-19,22,3,5,0,0,0,v
5,2025-06-09-21-58,유봄냥,페이드,스플릿,9,14,18,4,157.15,104,-26,30,1,0,0,3,1,v
5,2025-06-09-21-58,조별하,레이나,스플릿,2,23,19,2,258.46,166,22,21,6,5,3,1,0,l
6,2025-06-09-22-50,남봉,브리치,어센트,4,19,15,2,229.38,137,-2,18,3,1,1,7,0,l
6,2025-06-09-22-50,푸린,소바,어센트,6,13,15,6,175.52,112,-23,25,1,1,1,0,0,l
6,2025-06-09-22-50,러너,킬조이,어센트,7,10,16,2,165.33,116,-31,9,2,1,0,0,0,l
6,2025-06-09-22-50,아구이뽀,오멘,어센트,10,4,20,7,75.67,47,-135,8,0,6,0,0,0,l
6,2025-06-09-22-50,김뚜띠,클로브,어센트,1,28,14,5,345.86,251,112,35,0,1,3,0,0,v
6,2025-06-09-22-50,짜누,아이소,어센트,2,23,11,1,300.57,188,80,30,6,3,1,0,0,v
6,2025-06-09-22-50,감제이,킬조이,어센트,5,14,11,3,188.05,125,22,12,3,4,0,0,2,v
6,2025-06-09-22-50,울프,네온,어센트,8,9,15,5,136.95,88,-41,20,2,1,0,0,0,v
6,2025-06-09-22-50,유봄냥,소바,어센트,9,7,11,7,108.24,78,-17,20,1,0,0,7,0,v
